station_id,date,time_utc,lat,lng,rainfall,temp,temp_max,temp_min,state,url_hash
JARI,24-Aug-2014,01:00:00,32.5,77.1,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
KALPA,24-Aug-2014,01:00:00,31.3,78.1,0,11.4,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
KALATOP,24-Aug-2014,01:00:00,32,76,0,13.7,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
LEO,24-Aug-2014,01:00:00,31.9,78.9,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
JHANDUTA,24-Aug-2014,01:00:00,31.4,76.6,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
GHUMARWIN,24-Aug-2014,01:00:00,31.4,76.7,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
CHOPPAL,24-Aug-2014,01:00:00,31,77.6,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
BHARWARA,24-Aug-2014,01:00:00,31.8,76.2,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
BARSAR,24-Aug-2014,01:00:00,31.5,76.4,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
BAKLOH,24-Aug-2014,01:00:00,32.3,75.6,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
BHANDAL,24-Aug-2014,01:00:00,32.1,76.1,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
BEER,24-Aug-2014,01:00:00,32,76.7,1,18.7,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
KANGRA,24-Aug-2014,01:00:00,32.1,76.3,0,21.4,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
LARJI,24-Aug-2014,01:00:00,31.4,77.1,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
MANIKARAN,24-Aug-2014,01:00:00,32.2,77.1,0,15.4,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
MALRAUN,24-Aug-2014,01:00:00,31.3,76.6,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
HIPA,24-Aug-2014,01:00:00,31.1,77.2,0,15.4,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
JHUNGI,24-Aug-2014,01:00:00,31.4,77.1,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
CHAIL,24-Aug-2014,01:00:00,31,77.2,0,15.9,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
ANNU,24-Aug-2014,01:00:00,31.1,77.8,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
TATTAPANI,24-Aug-2014,01:00:00,31.2,77.1,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
THANAPLAUN,24-Aug-2014,01:00:00,31.8,76.8,0,20.3,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
TIKRIGARH,24-Aug-2014,01:00:00,32.5,76.1,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
SWARGHAT,24-Aug-2014,01:00:00,31.2,76.7,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
SARAHAN,24-Aug-2014,01:00:00,30.7,77.2,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
ROHRU,24-Aug-2014,01:00:00,31.2,77.7,0,16.3,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
POOH,24-Aug-2014,01:00:00,31.6,78.3,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
RAMSHAR,24-Aug-2014,01:00:00,31.1,76.8,0,21,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
SUNDERNAGAR,24-Aug-2014,01:00:00,31.5,76.9,0,20.5,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
SAINJ_ARG,24-Aug-2014,01:00:00,31.8,77.3,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
SANDHOLE,24-Aug-2014,01:00:00,31.8,76.6,0,21.6,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
JOL,24-Aug-2014,00:00:00,31.6,76.2,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
JARI,24-Aug-2014,00:00:00,32.5,77.1,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
JOGINDAR NAGAR,24-Aug-2014,00:00:00,32,76.8,0,17.8,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
KALPA,24-Aug-2014,00:00:00,31.3,78.1,0,11.9,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
KANGRA,24-Aug-2014,00:00:00,32.1,76.3,0,21.3,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
KALATOP,24-Aug-2014,00:00:00,32,76,0,14.1,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
JHANDUTA,24-Aug-2014,00:00:00,31.4,76.6,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
JHUNGI,24-Aug-2014,00:00:00,31.4,77.1,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
GHUMARWIN,24-Aug-2014,00:00:00,31.4,76.7,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
CHOPPAL,24-Aug-2014,00:00:00,31,77.6,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
BHARWARA,24-Aug-2014,00:00:00,31.8,76.2,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
BARSAR,24-Aug-2014,00:00:00,31.5,76.4,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
BAKLOH,24-Aug-2014,00:00:00,32.3,75.6,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
BHANDAL,24-Aug-2014,00:00:00,32.1,76.1,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
POOH,24-Aug-2014,00:00:00,31.6,78.3,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
LEO,24-Aug-2014,00:00:00,31.9,78.9,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
LARJI,24-Aug-2014,00:00:00,31.4,77.1,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
MANIKARAN,24-Aug-2014,00:00:00,32.2,77.1,0,15.7,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
MALRAUN,24-Aug-2014,00:00:00,31.3,76.6,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
HIPA,24-Aug-2014,00:00:00,31.1,77.2,0,16.1,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
ANNU,24-Aug-2014,00:00:00,31.1,77.8,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
TATTAPANI,24-Aug-2014,00:00:00,31.2,77.1,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
THANAPLAUN,24-Aug-2014,00:00:00,31.8,76.8,0,20.1,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
TIKRIGARH,24-Aug-2014,00:00:00,32.5,76.1,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
SWARGHAT,24-Aug-2014,00:00:00,31.2,76.7,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
SARAHAN,24-Aug-2014,00:00:00,30.7,77.2,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
SANDHOLE,24-Aug-2014,00:00:00,31.8,76.6,0,21.6,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
SAINJ_ARG,24-Aug-2014,00:00:00,31.8,77.3,0,,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
SUNDERNAGAR,24-Aug-2014,00:00:00,31.5,76.9,0,20.4,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
RAMSHAR,24-Aug-2014,00:00:00,31.1,76.8,0,21.2,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
ROHRU,24-Aug-2014,00:00:00,31.2,77.7,0,16.3,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
CHAIL,24-Aug-2014,00:00:00,31,77.2,0,16.2,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
BEER,24-Aug-2014,00:00:00,32,76.7,1,18.2,,,10,ee6c61be5a4a274a6d25a6df6f8349d4
